"id","probs","preds","labels"
1,1e-04,0,0
2,1e-04,0,0
3,1e-04,0,0
4,1e-04,0,0
5,1e-04,0,0
6,1e-04,0,0
7,1e-04,0,0
8,1e-04,0,0
9,0.9999,1,1
10,1e-04,0,0
11,1e-04,0,0
12,1e-04,0,0
13,1e-04,0,0
14,1e-04,0,0
15,0.999842166900635,1,1
16,1e-04,0,0
17,1e-04,0,0
18,1e-04,0,0
19,1e-04,0,0
20,1e-04,0,0
21,1e-04,0,0
22,1e-04,0,0
23,0.998622059822083,1,1
24,1e-04,0,0
25,1e-04,0,0
26,1e-04,0,0
27,1e-04,0,0
28,1e-04,0,0
29,1e-04,0,0
30,1e-04,0,0
31,1e-04,0,0
32,1e-04,0,0
33,1e-04,0,0
34,1e-04,0,0
35,1e-04,0,0
36,1e-04,0,0
37,0.000198019508388825,0,0
38,1e-04,0,0
39,1e-04,0,0
40,1e-04,0,0
41,0.00275068916380405,0,0
42,1e-04,0,0
43,1e-04,0,0
44,1e-04,0,0
45,1e-04,0,0
46,1e-04,0,0
47,1e-04,0,0
48,1e-04,0,0
49,1e-04,0,0
50,1e-04,0,0
51,1e-04,0,0
52,0.00251284847036004,0,0
53,1e-04,0,0
54,1e-04,0,0
55,1e-04,0,0
56,1e-04,0,0
57,1e-04,0,0
58,1e-04,0,0
59,0.9999,1,1
60,1e-04,0,0
61,1e-04,0,0
62,0.9999,1,1
63,1e-04,0,0
64,1e-04,0,0
65,1e-04,0,0
66,1e-04,0,0
67,1e-04,0,0
68,1e-04,0,0
69,0.106324285268784,0,1
70,1e-04,0,0
71,1e-04,0,0
72,1e-04,0,0
73,1e-04,0,0
74,1e-04,0,0
75,1e-04,0,0
76,1e-04,0,0
77,1e-04,0,0
78,1e-04,0,0
79,1e-04,0,0
80,1e-04,0,0
81,1e-04,0,0
82,1e-04,0,0
83,1e-04,0,0
84,1e-04,0,0
85,0.9999,1,1
86,1e-04,0,0
87,1e-04,0,0
88,0.00550621561706066,0,0
89,1e-04,0,0
90,1e-04,0,0
91,0.9999,1,1
92,1e-04,0,0
93,0.000217564971535467,0,0
94,1e-04,0,0
95,1e-04,0,0
96,1e-04,0,0
97,0.000537342915777117,0,0
98,1e-04,0,0
99,1e-04,0,0
100,1e-04,0,0
101,1e-04,0,0
102,1e-04,0,0
103,1e-04,0,0
104,1e-04,0,0
105,0.999386310577393,1,1
106,1e-04,0,0
107,1e-04,0,0
108,1e-04,0,0
109,1e-04,0,0
110,1e-04,0,0
111,1e-04,0,0
112,1e-04,0,0
113,1e-04,0,0
114,1e-04,0,0
115,0.9999,1,1
116,1e-04,0,0
117,1e-04,0,0
118,1e-04,0,0
119,1e-04,0,0
120,1e-04,0,0
121,1e-04,0,0
122,1e-04,0,0
123,1e-04,0,0
124,1e-04,0,0
125,1e-04,0,0
126,1e-04,0,0
127,1e-04,0,0
128,0.998799324035645,1,1
129,1e-04,0,0
130,1e-04,0,0
131,1e-04,0,0
132,0.9999,1,1
133,1e-04,0,0
134,1e-04,0,0
135,1e-04,0,0
136,1e-04,0,0
137,1e-04,0,0
138,1e-04,0,0
139,0.9999,1,1
140,0.9999,1,1
141,1e-04,0,0
142,1e-04,0,0
143,1e-04,0,0
144,1e-04,0,0
145,1e-04,0,0
146,1e-04,0,0
147,1e-04,0,0
148,1e-04,0,0
149,1e-04,0,0
150,1e-04,0,0
151,1e-04,0,0
152,1e-04,0,0
153,1e-04,0,0
154,1e-04,0,0
155,1e-04,0,0
156,1e-04,0,0
157,1e-04,0,0
158,0.000133348657982424,0,0
159,1e-04,0,0
160,1e-04,0,0
161,1e-04,0,0
162,1e-04,0,0
163,1e-04,0,0
164,1e-04,0,0
165,1e-04,0,0
166,1e-04,0,0
167,1e-04,0,0
168,1e-04,0,0
169,1e-04,0,0
170,1e-04,0,0
171,1e-04,0,0
172,1e-04,0,0
173,1e-04,0,0
